,Video Title,Video ID,View Count,Duration,Description,Channel Title,Published Date,Trending Until
326,How Does ChatGPT and Large Language Models work? #digital #chatgpt #shorts,7DpXiZzj0Xs,56,39,"Watch the full episode: https://www.youtube.com/watch?v=et9UJsa6BeA 

Catch up on Let’s Think Digital Season 1 here! www.letsthinkdigital.ca 

Want to learn more? Visit our website at www.thinkdigital.ca

----------------------------------

Our first guests are Jen Schellinck, Associate at Think Digital and CEO of Sysabee, John Stroud who runs an initiative with Jen called AI Guides, Cecilia Tham, CEO and Founder of Futurity Systems, Shingai Manjengwa, Founder of Fireside Analytics, and  Jacob Danto-Clancy & Bryce Edwards from the Think Digital team.

---------------------------------
Follow us on:

Linkedin: https://www.linkedin.com/company/think-digital-ca/?originalSubdomain=ca 
Twitter: https://twitter.com/ThinkDigitalCA 
Facebook: https://www.facebook.com/ThinkDigitalCA/ 


---------------------------------
This episode, we go deep and talk about everything you need to know about artificial intelligence, machine learning, large language models like ChatGPT, and big data in the government context.

Government Canadian government Digital transformation Digital governance Artificial Intelligence AI ChatGPT Chat GPT",Let's Think Digital,2023-08-10T20:00:01Z,2023-09-06T11:45:19Z
327,"Large Language Models: Weighing the Risks of AI ft. Finny Kuruvilla, MD, PhD",oqf5n7lBFak,93,29:22,"Artificial Intelligence is developing rapidly, and for many of us, we struggle to understand how it works. In this episode, Dr. Finny Kuruvilla, Eventide’s Co-CIO, explains in simple terms how one form of artificial intelligence, the Large Language Model, works along with its ethical risks and investing implications.

In this episode, you will learn:

What is artificial intelligence?
What are large language models?
How do large language models work?
What are the ethical challenges of large language models?
What are the investing implications of artificial intelligence and large language models?",Eventide Asset Management,2023-08-10T19:15:18Z,2023-09-06T11:45:19Z
328,Unveiling Censorship: How AI Language Models Are Restricted in Chat Conversations,mk-v6voS-4k,7,46,What was the issue with some of the chat GPT answers that people were posting where they would show the difference between the way it would criticize Joe Biden versus the way it would criticize Donald Trump or the way it would discuss certain things It seems like there was some sort of censorship or some sort of input into what was acceptable information and not The other theory is that there's censorship being applied on top It is very clear that at least some of these systems have restraining bolts The tip off to that is when they say basically whenever they say as a large language model or as an AI I cannot X That's basically the restraining bolt I think if you just kind of look at this kind of with that framework it's probably some of both but for sure these things are being censored,PodBites,2023-08-10T19:00:21Z,2023-09-06T11:45:19Z
329,"Using ChatGPT, GPT-4, &amp; Large Language Models In the Enterprise",dIji4jjGmwY,242,52:59,"Watch our insightful in-person event designed for professionals and industry experts, where we unravel how the latest advancements in NLP can reshape data utilization in enterprise settings.

Explore a comprehensive range of topics and strategies that will empower data scientists, business analysts, and executives alike. Discover how to tap into the true potential of language models to elevate your enterprise data game. From decoding complex datasets to making informed decisions, this event equips you with practical knowledge and real-world applications.

Don't miss this opportunity to stay ahead of the curve and transform your data-driven endeavors. 

#NLP #GPT4 #DataRevolution #EnterpriseInsights #chatgpt #gpt-4

Website: https://www.royalcyber.com/
LinkedIn: https://www.linkedin.com/company/royal-cyber-inc- 
Twitter: https://twitter.com/RoyalCyberUSA
Instagram: https://www.instagram.com/royalcyberinc/
Facebook: https://www.facebook.com/RoyalCyber",Royal Cyber Inc,2023-08-10T18:32:31Z,2023-09-06T11:45:19Z
330,Harnessing the future: Large language models redefine automation,E7uhnU-5WCg,33,17,Harnessing the future: Large language models redefine automation. Large language models are reshaping the automation landscape. Businesses and individuals can now harness their power for more efficient processes and tasks. Stay up to date. Adapt. #LanguageModels #TechEvolution #BusinessInnovation #AutomationRising #FutureReady #AdaptAndThrive #EfficiencyBoost #ProcessRevolution #NextGenTech #TechTrends #StayAhead #InnovateToday #LLM #automation #robotics #efficiency #change #adapt,Michael Ten,2023-08-10T18:19:33Z,2023-09-06T11:45:19Z
331,Emerging Architectures for Large Language Model Applications |  Building a Custom LLM Application,-eXZhgE1_N4,1660,1:10:19,"💼 Learn to build LLM-powered apps in just 40 hours with our Large Language Models bootcamp: https://hubs.la/Q01ZZGL-0

-- 

Generative AI and Large Language Models have taken the world by storm. Applications like Bard, ChatGPT, Midjourney, and Dall.E crossed the proverbial chasm of technology adoption lifecycle and have entered some applications like content generation and summarization. However, there are inherent challenges for a lot of tasks that require a deeper understanding of trade-offs like latency, accuracy, and consistency of responses. Any serious applications of LLMs require an understanding of nuances in how LLMs work, embeddings, vector databases, retrieval augmented generation (RAG), orchestration frameworks, and more.

This introductory tutorial will introduce the audience to prevalent approaches to building a custom large language model application. We will present a canonical architecture for an LLM application and various available commercial and open-source tools and technologies available to build these applications.

No prior background in Generative AI or LLMs is necessary to attend this talk.

-- 

Table of Contents:
0:00 – Introduction + Agenda
2:12 – Canonical Design Patterns
3:20 – Embeddings
8:02 – Vector Database, Storing and Indexing of Vectors, Vector Similarity
14:37 – Large Language Models
19:28 – Prompt Engineering
23:14 – Foundation Models
26:26 – Context Window and Token Limits
29:31 – Customizing Large Language Models
43:16 – Questions and Answers 

#largelanguagemodels #llms #generativeai #langchain",Data Science Dojo,2023-08-10T15:25:43Z,2023-09-06T11:45:19Z
332,Shepherd: A Critic for Language Model Generation,OGKd6A8d75A,125,27:33,"Shepherd is a language model designed to critique and suggest refinements to model outputs. It outperforms established models in terms of critiques and suggestions, and has a high win-rate compared to competitive alternatives. Data is available on GitHub.

00:00 Section: 1 Introduction
02:59 Section: 2 Data Collection
05:18 Section: 2.1.1 Critique Postprocessing
08:44 Section: Public dataset selection.
11:43 Section: Annotation  specifics.
14:22 Section: 4 Evaluating  Feedback
17:09 Section: 4.2 Baseline Models
19:23 Section: 4.4 Human Evaluation
22:01 Section: 5.2 Score  Distribution
24:44 Section: Limitation of GPT-4 evaluation.

https://arxiv.org/abs//2308.04592

YouTube: https://www.youtube.com/@ArxivPapers

PODCASTS:
Apple Podcasts: https://podcasts.apple.com/us/podcast/arxiv-papers/id1692476016
Spotify: https://podcasters.spotify.com/pod/show/arxiv-papers",Arxiv Papers,2023-08-10T15:24:10Z,2023-09-06T11:45:19Z
333,Will machines eat mathematics ? | Kevin Buzzard | TEDxImperialCollege,WNeS4J62v6g,850,13:40,"Will computers be able to do mathematical research, make conjectures, and prove theorems ? Kevin Buzzard gives an overview of the current state of the art of two tools: large language models and interactive theorem provers. Neither of them alone is anywhere close to being able to replace human mathematical researchers right now, but perhaps in the future, a combination of them will be able to make some progress. Kevin Buzzard got his Ph.D. from the University of Cambridge in 1995 and settled in London after staying in Berkeley, Harvard, and the Princeton IAS. He became a professor of pure mathematics at Imperial College London. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",TEDx Talks,2023-08-10T14:52:29Z,2023-09-06T11:45:19Z
334,Language Models: Developing Apps - Challenges &amp; Solutions // Barak Turovsky /MLOps Podcast #169 clip,TheWLIbYzM4,101,6:1,"MLOps Coffee Sessions #169 with Barak Turovsky, MLOps at the Age of Generative AI.

Thanks to wandb.ai for sponsoring this episode. Check out their new course on evaluating and fine-tuning LLMs wandb.me/genai-mlops.course.

Barak Turovsky, currently an executive at Scale Venture Partners, delves into the realm of MLOps and AI applications. He underscores the significance of maintaining realistic expectations during the deployment of AI solutions, pointing out the intricate challenges that arise when transitioning from demonstrations to real-world production environments. Turovsky highlights the crucial decision-making process of selecting attainable use cases for AI applications, with an emphasis on managing both accuracy and latency. He outlines the intricate balance between accuracy, latency, and costs, suggesting that simpler use cases may allow for trade-offs in accuracy and latency. Turovsky advocates for streamlining user interfaces and options within AI applications as a means to simplify complexity and enhance user experience.

// Abstract
The talk focuses on MLOps aspects of developing, training and serving Generative AI/Large Language models.

// Bio
Barak is an Executive in Residence at Scale Venture Partners, a leading Enterprise venture capital firm. Barak spent 10 years as Head of Product and User Experience for Languages AI and Google Translate teams within the Google AI org, focusing on applying cutting-edge Artificial Intelligence and Machine Learning technologies to deliver magical experiences across Google Search, Assistant, Cloud, Chrome, Ads, and other products. Previously, Barak spent 2 years as a product leader within the Google Commerce team.

Most recently, Barak served as Chief Product Officer, responsible for product management and engineering at Trax, a leading provider of Computer Vision AI solutions for Retail and Commerce industries. 

Prior to joining Google in 2011, Barak was Director of Products in Microsoft’s Mobile Advertising, Head of Mobile Commerce at PayPal, and Chief Technical Officer at an Israeli start-up. He lived more than 10 years in 3 different countries (Russia, Israel, and the US) and fluently speaks three languages. 

Barak earned a Bachelor of Laws degree from Tel Aviv University, Israel, and a Master’s of Business Administration from the University of California, Berkeley.

// MLOps Jobs board 
https://mlops.pallet.xyz/jobs

// MLOps Swag/Merch
https://mlops-community.myshopify.com/

// Related Links
⁠Bio and links about Barak's work: https://docs.google.com/document/d/1E4Yrmt_Y57oTEYHQQDvt71XzSJ8Ew5WvscAQbHV4K3U/edit
Framework for evaluating Generative AI use cases: https://www.linkedin.com/pulse/framework-evaluating-generative-ai-use-cases-barak-turovsky/?trackingId=%2BMRxEZ9WTPCNH2JscILTeg%3D%3D
The Great A.I. Awakening: https://www.nytimes.com/2016/12/14/magazine/the-great-ai-awakening.html

--------------- ✌️Connect With Us ✌️ -------------
Join our slack community: https://go.mlops.community/slack
Follow us on Twitter: @mlopscommunity
Sign up for the next meetup: https://go.mlops.community/register
Catch all episodes, blogs, newsletters, and more: https://mlops.community/

Connect with Demetrios on LinkedIn: https://www.linkedin.com/in/dpbrinkm/
Connect with Barak on LinkedIn: https://www.linkedin.com/in/baraktur/",MLOps.community,2023-08-10T14:28:13Z,2023-09-06T11:45:19Z
335,Generative AI / Large Language Models Webinar: Are We There Yet?,3HGu-5VpD-s,76,22,"Lionbridge invites you to join us as we examine how to effectively leverage generative Artificial Intelligence (GenAI) / Large Language Models (LLMs) during the technology’s early stages and refrain from using it prematurely for applications it cannot yet handle.

Webinar date: Tuesday, September 12

Time: 10:00 a.m. ET / 16:00 CET

https://www.lionbridge.com/webinars/generative-ai-opportunities/?utm_source=google&utm_medium=video&utm_campaign=glt-generative-ai-opportunities",Lionbridge,2023-08-10T14:18:05Z,2023-09-06T11:45:19Z
336,Treinando Large Language Models com QLora e DeepSpeed,VTEBcE4Agj0,225,1:35:15,"Nos últimos meses, LLMs têm sido fundamentais em impulsionar o progresso da Inteligência Artificial, permitindo que máquinas processem e gerem linguagem natural de maneira cada vez mais sofisticada. No entanto, o treinamento desses modelos gigantes é uma tarefa complexa, demandando enormes recursos computacionais.

É aí que entra o QLora e o DeepSpeed! Juntos, eles estão abrindo novos horizontes na eficiência do treinamento de LLMs, tornando-o mais rápido e escalável do que nunca.

No nosso meetup, o especialista Célio Larcher compartilhará seus conhecimentos práticos e insights sobre como aproveitar ao máximo o QLora e o DeepSpeed para treinar modelos de linguagem impressionantes. 

https://www.linkedin.com/in/celiolarcher/

Não perca esta oportunidade de se aprofundar nas tecnologias que estão moldando o futuro da IA e da linguagem natural. Junte-se a nós no dia do evento e faça parte desta comunidade de entusiastas, pesquisadores e profissionais apaixonados pela IA.

#IA #QLora #DeepSpeed #Tecnologia #LinguagemNatural #LLM #EncontroOnline #NPL #GenAI #machinelearning",TensorFlow UGSP,2023-08-10T11:49:16Z,2023-09-06T11:45:19Z
337,Maximizing Coding Productivity with Large Language Models,Tn8dfgGyMEA,544,25:24,"Learn how to maximize developer productivity by leveraging large language models for rapid code refactoring.

Large language models like ChatGPT have tremendous potential to automate repetitive coding tasks and boost team effectiveness. 

In this MAAS Show And Tell, Peter Makowski, Senior Web Engineer at Canonical, shares insights and a real-world example of using LLM for a successful large-scale migration of hundreds of tests from enzyme to @testing-library/react.

Further reading:
https://discourse.maas.io/tag/show-and-tell 
https://petermakowski.io/


---

Key moments:

0:00 Introduction 

01:09 Challenges of refactoring large portions of legacy code

03:02 LLM code refactoring loop 

04:51 Prompt engineering for optimal LLM results

12:42 Final Prompt

14:35 Automating refactoring at scale with scripting

15:45 Integrating LLMs into the development workflow

----

The presentation covers:

- Crafting effective prompts for LLMs
- Improving prompts through an iterative loop
- LLM code refactoring loop
- Automation scripts to scale LLM usage
- Example of migrating hundreds of tests using LLMs

---------
Subscribe to Ubuntu on YouTube for more content like this:
https://bit.ly/3Sp6PKY

And follow our other social accounts:

LinkedIn: 
https://bit.ly/3Jw6jGN
Twitter: 
https://bit.ly/3OXSIJE
Facebook:
https://bit.ly/3Q15Yyn
Instagram:
https://bit.ly/3vE7Kxk

For more information visit https://www.ubuntu.com and https://www.canonical.com


#largelanguagemodels #coding #machinelearning #canonical",Canonical Ubuntu,2023-08-10T11:46:10Z,2023-09-06T11:45:19Z
338,"NPSF User Workshop 2023, Day-5 : Session-1, Session-2 7th Aug (Monday) 10:00 AM-1:30 PM",c2CsuE2Z78g,41,2:52:18,"• Introduction to NeMo. Introduction & Research Advancements in LLM/GPT
• Introduction & Research Advancements in ASR & Production Usage",C-DAC,2023-08-10T09:10:53Z,2023-09-06T11:45:19Z
339,What is Generative Ai | Foundation Models | Large Language Models| Chat GPT,WMIlV_wU9e8,34,2:54,"🌟 Unleashing Creativity: Exploring the Wonders of Generative AI! 🎨

Dive into the fascinating world of Generative Artificial Intelligence in our latest video! 🚀 Join us as we unravel the magic behind AI-driven creativity and witness the astonishing power of machines generating art, music, and more.

🎉 In this captivating video, you'll discover:
🌈 How Generative AI works its creative wonders
🎵 The symphony of AI-composed music that blurs the lines of human imagination
🖼️ Mind-bending AI-generated artwork that challenges the boundaries of human creativity
✨ Applications across industries, from entertainment to design and beyond

Prepare to be amazed as we demystify the cutting-edge technologies shaping the future of creative expression. Whether you're an AI enthusiast, a tech-savvy artist, or just curious about the potential of AI, this video promises to leave you inspired and awestruck.

🔥 Hit the play button now and embark on a journey of innovation and ingenuity with us! Don't forget to like, share, and subscribe to our channel to stay updated on the latest trends in technology and creativity. 📡 Let's ride the wave of Generative AI together!

Connect with us on social media:
📸 Instagram: @dmuic_ai

🎓 Want to learn more about AI and its creative capabilities? Check out our other videos and stay tuned for mind-blowing content every week!

#GenerativeAI #AIcreativity #FutureTechArtistry #InnovationUnleashed

Remember, the future of creativity is here, and it's AI-powered! 🤖🎨🎶

www.growinmetaverse.com

Image Credit : https://research.aimultiple.com/large-language-models/ ; Last Paragraph 
Image Credit : https://www.techopedia.com/definition/34826/foundation-model 
Image Credit : https://medium.com/@thedatabeast/top-3-free-courses-on-large-language-models-every-enthusiast-should-follow-in-2023-597ab46410ab",Digital Marketing Update with Isha Chauhan,2023-08-10T08:38:38Z,2023-09-06T11:45:19Z
340,StableCode: Stability Ai&#39;s NEW Ultimate Language Model for Developers!,knt5svAL0SI,7122,10:41,"Welcome to the future of coding assistance and education with StableCode, the groundbreaking AI-powered coding assistant developed by Stability AI. In this video, we unveil the revolutionary product that is set to transform how programmers approach their daily tasks and provide a valuable resource for aspiring developers looking to enhance their skills.

🔥 Become a Patron: https://patreon.com/WorldofAi
☕ To help and Support me, Buy a Coffee or Donate to Support the Channel: https://ko-fi.com/worldofai - It would mean a lot if you did! Thank you so much, guys! Love yall
🧠 Follow me on Twitter: https://twitter.com/intheworldofai 

[Must Watch]:
Starcoder LLM: The Ultimate Language Model for Developers - https://youtu.be/X9HvV5_SS_Q
Code Review GPT: Improve Code Quality DRASTICALLY With LLMs! - https://youtu.be/DdEgbfbnavQ
Metaphor API: Connects your LLM to the Internet EASILY For FREE! - https://youtu.be/CrwAm8RsNNQ

[Links Used]:
Stability AI's Blogpost on Stablecode: https://stability.ai/blog/stablecode-llm-generative-ai-coding?utm_source=twitter&utm_medium=website&utm_campaign=announcement
Modelcard: https://huggingface.co/stabilityai/stablecode-instruct-alpha-3b
Google Colab: https://colab.research.google.com/drive/1pH3M7ZllWPjBiw_ZqnbO9YXKJCQxkxfE?usp=sharing

[Key Highlights]:
🚀 Unleashing Innovation: StableCode is a game-changer in the world of coding. Built upon a Language Model (LLM) generative AI foundation, it harnesses the power of advanced language understanding to offer a dynamic and context-aware approach to coding assistance.
🧠 Enhanced Productivity: Discover how StableCode seamlessly integrates into the workflow of experienced programmers. From suggesting code snippets and optimizing algorithms to identifying errors and offering insightful debugging suggestions, StableCode is your indispensable coding companion.
🌟 Empowering Newcomers: Join us as we explore how StableCode opens doors for newcomers in the coding arena. This powerful learning tool provides step-by-step guidance, interactive explanations, and a user-friendly interface to help novice developers grasp coding concepts, syntax, and best practices.

Adaptability & Contextual Awareness: Dive into StableCode's remarkable adaptability across various programming languages, frameworks, and coding styles. Witness how its learning capabilities from user interactions make its assistance increasingly personalized over time. Coding Community Evolution: Explore how Stability AI envisions a collaborative coding community with StableCode. Its intuitive interface and real-time feedback mechanism foster continuous improvement, knowledge sharing, and innovation among developers of all levels. Your Path to Mastery: Whether you're an experienced programmer seeking optimization or a newcomer striving for proficiency, StableCode is your comprehensive solution. Join us in shaping the future of coding assistance and education! 

🔔 Don't forget to Like, Subscribe, and Share this video to support the coding community!

🔖 Tags and Keywords:
StableCode, Stability AI, coding assistant, AI-powered, programming, coding education, LLM generative AI, coding tips, code optimization, debugging, novice developers, coding mastery, adaptability, collaborative coding community, future of coding.
🔥 Hashtags:
#StableCode #CodingEducation #AIProgramming #InnovativeCoding #ProgrammingTips #TechInnovation

Unlock the power of StableCode and revolutionize your coding journey today! Don't miss out on this transformative tool that's shaping the coding landscape. Watch the video now and embark on a new era of coding excellence.",WorldofAI,2023-08-09T22:17:53Z,2023-09-06T11:45:19Z
341,I&#39;M JUST NOT THAT INTO YOU: Mastering Level of Interest Detection with Falcons.AI,_dslExTCM4A,76,1:36,"In this quick and professional tutorial, we will dive into the powerful world of Large Language Models (LLM) and Falcons.AI, where you'll learn how to harness the potential of LLMs for conducting Level of Interest Detection. Discover the cutting-edge techniques and gain hands-on experience in analyzing and interpreting interest levels from text data. Elevate your understanding and leverage Falcons.AI to unlock valuable insights that will elevate your projects and decision-making processes. Let's soar with the Falcons.AI LLM tutorial today!",FalconsAI,2023-08-09T20:00:09Z,2023-09-06T11:45:19Z
342,"LLMS Explained - Temperature, The parameter to control randomness in Language Models",OuOJ5CpXNLo,132,4:35,"Learn about temperature parameters and also about top_p and top_k parameters which control for randomness in language models including LLMs.
Link to Google Collab
https://colab.research.google.com/drive/1jws0xlvC30grF1KdW8ftmmlr7Y4ioCvc?usp=sharing

For more such ML concepts follow https://mlexplained.blog",ML Explained,2023-08-09T16:07:24Z,2023-09-06T11:45:19Z
343,S4E2: Google DeepMind’s Dr. Claire Cui on The Next Frontier for Large Language Models,YTgMNaWHudM,0,46:37,"Episode 2 explores how machine learning evolved to where it is today. Anthony and Alex’s guest is Dr. Claire Cui, a computer scientist from Google DeepMind. They discuss the underlying architecture of LLMs, how self-supervising algorithms work, and the technological developments that have driven innovation.

Follow Theory and Practice on Apple Podcasts:
https://podcasts.apple.com/us/podcast/id1480260459?mt=2&ls=1

Spotify:
https://open.spotify.com/show/7wIo0NZzDuUkA0CVLYqJ78

Google Podcasts:
https://podcasts.google.com/feed/aHR0cHM6Ly9yc3MuYXJ0MTkuY29tL3RoZW9yeS1hbmQtcHJhY3RpY2U=",GV (Google Ventures),2023-08-09T15:03:30Z,2023-09-06T11:45:19Z
344,What are Large Language Models (LLMs)?,FIYopxdJ43o,44,3:44,"Large language models represent a pinnacle of language understanding and generation, transforming the way we interact with technology and communicate with each other. Large language models, such as GPT-3 (Generative Pre-trained Transformer 3), are sophisticated AI systems designed to comprehend, process, and generate human-like text, offering an array of applications across various domains.",Genomics 360,2023-08-09T14:18:44Z,2023-09-06T11:45:19Z
345,Reasoning biases in language models | Ishita Dasgupta | LLMs meet CogSci Workshop 2023,zw5E5wWlJaU,14,10:,"Reasoning biases in language models | Ishita Dasgupta | LLMs meet CogSci Workshop 2023

www.cogscillm.com",CogSci LLMs,2023-08-09T10:56:07Z,2023-09-06T11:45:19Z
346,Exploring the World of Ethernet Technology and Large Language Models with Peter Jones,1TV8wDnuWX0,98,58:31,"What if you could delve into the intricate world of technology and networking with an expert in the field? Welcome to an episode filled with insights from our special guest, Peter Jones, a renowned engineer in Cisco networking hardware and the chair of the Ethernet Alliance. Peter throws light on a variety of fascinating subjects - from the competitive landscape of Ethernet technology to the dynamics of different Ethernet speeds, revealing unique perspectives on the risk-reward balance in this area.

Elevating the conversation, we embark on an exploration of large language model (LLM) training clusters and their future implications in computing. Peter shares his views on the delicate balance between the necessity for dedicated, specialized resources and more traditional compute, storage, and acceleration networks. We also ponder on the concept of smaller companies renting out space for LLM training, breaking down the potential business models and the profitability of such ventures. 

In the final part of our discussion, we plunge into the limitless potential of large language models and their role in shaping the future of computing. Together with Peter, we contemplate the scalability of LLMs, their effectiveness in solving specific problems, and how big corporations could monetize these models. We also scrutinize the potential implications of acquiring large quantities of these models and the impact it could have on future pricing. Don't miss this enlightening episode, rich in information and insights, as we navigate the captivating world of technology and networking!

Links:

Peter Jones:
https://about.me/petergjones
https://linktr.ee/petergjones

Aquila: https://www.nextplatform.com/2022/04/12/with-aquila-google-abandons-ethernet-to-outdo-infiniband/

SmartNIC Summit: https://smartnicssummit.com/2023proceedings/

Ultra Ethernet Consortium: https://ultraethernet.org/


Check out our website and subscribe: https://www.cables2clouds.com/
Follow us on Twitter: https://twitter.com/cables2clouds
Follow us on TikTok: https://www.tiktok.com/@cables2clouds
Merch Store: https://store.cables2clouds.com/
Join the Discord Study group: https://artofneteng.com/iaatj
Art of Network Engineering (AONE): https://artofnetworkengineering.com",Cables2Clouds Podcast,2023-08-09T10:00:01Z,2023-09-06T11:45:19Z
347,"Generative AI, Large Language Models and Prompts",cSLv26bwkGc,24,1:42,"Dr Shaik Abdul Khalandar, 30 July 2023.

Topics:
- Overview 
- Installation
- LLMs
- Prompt Templates
- Chains
- Agents and Tools
- Memory
- Document Loaders
- Indexes
- Open discussions

*Expert Speaker: Shaik Abdul Khalandar*
linkedin.com/in/shaik-abdul-khalandar-8193a4ba
Shaik Abdul Khalandar Basha is a motivated researcher working on AI/ML and health-care analytics. He has extensive experience in database systems and analytical techniques. His current research interests include LLM, machine learning, Health care analytics, NLP, and data analytics.",MultiVerse,2023-08-09T09:40:54Z,2023-09-06T11:45:19Z
348,Large Language Models – Threat or Promise (Part 1 of 2),Qxcb403S_FY,100,30:,"Two important concepts in the field of artificial intelligence and natural language processing are introduced. Artificial neurons are visually combined together to form a deep neural network. Transformer models are deep neural networks that power the popular large language model ChatGTP type devices. Two different scaling laws will be explained and applied to these large language models to improve their accuracy or performance capabilities. 

Chapters:
00:00:00 intro
00:00:08 outline
00:02:08 thinking machine
00:03:08 technological singularity
00:04:29 natural language processing
00:05:10 artificial neuron
00:05:58 build deep neural network
00:08:43 GPU
00:09:36 internet training data
00:11:00 sub architecture finds structure
00:13:44 advantage with unlabeled data
00:14:24 generative pre-trained transformer (GPT)
00:16:46 large language model explosion
00:18:23 increasing size of transformer
00:19:17 growth of parameters over time
00:22:36 DALL-E's self portrait
00:22:45 second stage - fine tune transformer
00:23:29 all details of human history
00:25:24 gradient descent
00:26:44 scaling laws for GPTs


**** References
**
Alan Turing ""COMPUTING MACHINERY AND INTELLIGENCE""
https://archive.org/details/MIND--COMPUTING-MACHINERY-AND-INTELLIGENCE
**
Tensor Core GPU:
https://www.anandtech.com/show/17581/nvidia-h100-hopper-accelerator-now-in-full-production-dgx-shipping-in-q1-23
https://www.nvidia.com/en-us/data-center/technologies/hopper-architecture/
**
""Exploiting Similarities among Languages for Machine Translation""
https://arxiv.org/pdf/1309.4168.pdf
**
""Attention Is All You Need""
https://arxiv.org/abs/1706.03762
**
""Harnessing the Power of LLMs in Practice: A Survey on ChatGPT and Beyond""
https://arxiv.org/pdf/2304.13712.pdf
**
""Using DeepSpeed and Megatron to Train Megatron-Turing NLG 530B, A Large-Scale Generative Language Model""
https://arxiv.org/abs/2201.11990
**
Github - ""Megatron-LM"" 
https://github.com/NVIDIA/Megatron-LM
**",PsiPy,2023-08-09T07:05:29Z,2023-09-06T11:45:19Z
349,Simple synthetic data reduces sycophancy in large language models,Q4r-hiylTZQ,112,18:15,"00:00 Section: Introduction
02:30 Section: Model scaling and instruction tuning increases  sycophancy
05:34 Section: Models are sycophantic for objectively-wrong answers
07:26 Section: Synthetic-data intervention 
09:55 Section: Finetuning procedure
12:55 Section: Intervention requires filtering prompts 
15:13 Section: Related Work & Limitations

https://arxiv.org/abs//2308.03958

YouTube: https://www.youtube.com/@ArxivPapers

PODCASTS:
Apple Podcasts: https://podcasts.apple.com/us/podcast/arxiv-papers/id1692476016
Spotify: https://podcasters.spotify.com/pod/show/arxiv-papers",Arxiv Papers,2023-08-09T04:41:03Z,2023-09-06T11:45:19Z
350,ChainForge: The Low-Code Tool for Evaluating Language Models and Prompt Engineering [Beta Test],-JBZ22SlQGc,24,2:24,"ChainForge is a low-code tool developed by Ian Arawjo and his collaborators at Harvard University for prompt engineering and LLM (Language Model) evaluation. It allows users to evaluate the robustness of prompts and text generation models without coding. The tool can query multiple LLMs simultaneously, compare response quality across different prompts and models, and set up evaluation metrics. ChainForge is currently in active development and is available as an open beta test. It can be installed locally or used online, and it is compatible with Google Chrome and Mozilla Firefox. The tool's source code is available on GitHub, and users are asked to cite the project if used for research purposes. The post also includes comments discussing the open-source nature of the tool and comparisons with other similar tools.

🔗 https://chainforge.ai/docs/

#AI #LLM #Prompt",AI Insight News,2023-08-08T22:13:04Z,2023-09-06T11:45:19Z
351,Ned Block: Large Language Models are more like perceivers than thinkers,Y0ItC9ze-TY,87,29:59,,Anna-Katharina Strasser,2023-08-08T20:15:28Z,2023-09-06T11:45:19Z
352,How Large Language Models are Transforming Machine-Paraphrase Plagiarism,Sboj9pLXxQo,16,12:55,"Materials
📖 Paper: https://aclanthology.org/2022.emnlp-main.62/
🔨 Code: https://github.com/jpwahle/emnlp22-transforming

Speaker
👱🏻‍♂️ Jan Philip Wahle: https://jpwahle.com",Jan Philip Wahle,2023-08-08T19:12:27Z,2023-09-06T11:45:19Z
353,This Month In Security: Episode 12 - July - Cybersecurity Apprenticeship &amp; Large Language Models,nqYdP_dKqtA,159,43:30,"If you're hitting up BlackHat 2023, you're going to hear a LOT about Large Language Model security, which dominated the news this month in security. Also, Aubrey King talks with Jason Ross, from Rochester Institute of Technology and Jenn Carlson, from Apprenti, about cybersecurity apprenticeship options. 

00:00 Introduction
01:44 CyberSecurity Apprenticeship @ RIT
06:26 Apprenti Skill Assessment
14:16 Jason Ross on OWASP Top 10 for LLM
16:19 The Month, In Review
43:06 Outro

⬇️⬇️⬇️ JOIN THE COMMUNITY! ⬇️⬇️⬇️

DevCentral is an online community of technical peers dedicated to learning, exchanging ideas, and solving problems - together.

Find all our platform links ⬇️ and follow our Community Evangelists! 👋

➡️ DEVCENTRAL: https://community.f5.com 
➡️ YOUTUBE: https://youtube.com/devcentral 
➡️ LINKEDIN: https://www.linkedin.com/showcase/f5-devcentral/ 
➡️ TWITTER: https://twitter.com/devcentral 

Your Community Evangelists: 
👋 Jason Rahm: https://www.linkedin.com/in/jrahm/ | https://twitter.com/jasonrahm 
👋 Buu Lam: https://www.linkedin.com/in/buulam/ | https://twitter.com/buulam
👋 Aubrey King: https://www.linkedin.com/in/aubreyking | https://twitter.com/aubreykingf5",F5 DevCentral,2023-08-08T16:28:18Z,2023-09-06T11:45:19Z
354,Maximize ROI with Conversational AI: Explore Gen AI for Enterprises &amp; Maintain Large Language Models,Jxy5P4OzE7A,621,2:53,"https://library.sxlive.com/2023/conversational-ai-build-vs-buy  In this video, we delve into the world of Conversational AI and how enterprises can maximize their ROI by exploring the possibilities of Generative AI. Discover why building your own conversation AI might not be the best choice and how leveraging vendors can lead to faster time-to-value. We explore the debate surrounding large language models and generative AI, and why partnering with dedicated vendors can solve mission-critical problems efficiently. Learn the importance of maintaining large language models and how expertise can impact your core product's success. Join us as we navigate the landscape of AI in enterprises and make informed decisions to drive growth and innovation.
Website: https://www.supportlogic.com/
YouTube Channel: @SupportLogic",SupportLogic,2023-08-08T16:20:16Z,2023-09-06T11:45:19Z
